Text	Start Time (s)	duration
Against The Wall spotting sadak inside	10370.28	5.481
U-Haul M to P to push them back they try	10371.92	5.559
to regain control Les has a judge but	10375.76	4.2
he's towards the bide qck and two	10377.48	6.441
holding the a site down off Dien drift	10379.96	6.12
information trying to get utility behind	10383.92	4.84
and sprays behind it it's actually loud	10386.08	4.92
that capitalizes on all of these kills	10388.76	5.679
tens alone against the world how bad you	10391.00	5.84
guys want a	10394.44	2.401
computer TS a lot of work ahead of him	10397.52	6.68
here and I'm sure Kaplan is looking at	10401.16	6.48
the Lotus Notes at this point what a	10404.20	7.0
great two maps from loud incredibly hard	10407.64	6.32
fought on the last map of ice box that	10411.20	5.32
was such a back and forth he does get	10413.96	4.76
the first Contact still 40 seconds to	10416.52	4.28
work with doesn't have any more gate	10418.72	4.0
crashes so he can't really come through	10420.80	3.76
walking through the snake bite as well	10422.72	3.96
yeah and that's going to make it even	10424.56	5.44
more difficult coming out from Les judge	10426.68	5.36
inside T dancing around the corner of	10430.00	4.68
that pit walks in right now to pick it	10432.04	5.279
up no way as he walks across the TP	10434.68	5.44
though waiting is it going to get	10437.32	5.361
cleared across they didn't see him he	10440.12	5.44
made it through this 14 seconds left T	10442.68	6.2
chases him down we will be going into a	10445.56	6.36
final map to decide the winner of he's	10448.88	5.0
not scared of taking the entire Team B	10451.92	5.08
for around loud's going to have to be	10453.88	6.04
ready for that looks like that Spike may	10457.00	5.64
actually Trend towards that	10459.92	5.479
area and they do get a bit of Mount not	10462.64	5.2
Mount control but Rubble control on that	10465.40	5.08
left side with a Guiding Light to start	10467.84	5.04
no big commitment just yet for loud they	10470.48	5.321
do Peak them oh but TW is still there	10472.88	5.04
the third player door opening as well so	10475.80	3.559
they're trying to pinch in trying to	10477.92	3.6
Pivot between C or B depending where the	10479.36	4.201
picks are going to be from Sentinels	10481.52	4.52
it's on the C side to decide as three	10483.56	5.0
players fall for loud plant coming in	10486.04	4.199
kadine trying to get a for position	10488.56	3.679
trying to catch one off guard and Sak on	10490.24	4.641
the flank instantly we have a 2v2 c PIV	10492.24	4.321
towards the back gets the head shot as	10494.88	4.519
well allowing sedak to win against s the	10496.56	5.52
old teammates going head to-head Susy	10499.40	5.0
reposition around the Trailblazer	10502.08	3.92
swinging out the long range of the	10504.40	5.201
frenzy does not connect and s's ghost	10506.00	6.12
neither Oria with the ghost here moving	10509.60	5.36
forward now the re swing out from SED H	10512.12	4.6
being thrown knowing that he towards the	10514.96	5.04
back up towards the air the shot from	10516.72	6.84
above SOS get the pistol incredible	10520.00	6.479
Movement by Sashi sadok always buys a	10523.56	5.08
frenzy in a one V one situation there	10526.48	3.601
he's closing the	10528.64	4.839
distance sashy creates more sadak closes	10530.08	6.159
the distance Sashi creates more stays	10533.48	4.161
out of the range of the frenzy gets the	10536.24	4.24
ghost kill Sentinels have round one and	10537.64	5.16
that is a modified gun round strp for	10540.48	5.201
Sentinels that will usually see Z by	10542.80	6.2
himself at door opening it once be long	10545.68	6.12
has made contact they went two and two	10549.00	4.92
to make sure zin's Excursion into the	10551.80	5.559
doorway was not tainted by any B defense	10553.92	6.12
from loud crazy stuff by Sentinels there	10557.36	4.88
to modify that make it work for a pistol	10560.04	5.68
round loud now losing one already yeah	10562.24	5.561
losing one that b main Peak again	10565.72	5.36
Sentinels F A score there and 10's	10567.80	5.24
getting pretty hurt from that situation	10571.08	4.76
o good tra back to just just chip damage	10573.04	4.239
being traded but this is benefiting	10575.84	4.36
Sentinels obviously goes long range so	10577.28	6.641
zelis is still semi healthy 63 HP as	10580.20	6.079
Sentinels after the initial kill reset	10583.92	4.68
back towards C we'll get the same	10586.28	4.441
scenario this time with no more bodies	10588.60	4.04
up for	10590.72	4.4
loud Z trying to get the long range	10592.64	4.04
couldn't work it with the singer uses a	10595.12	4.4
classic instead back and forth we go	10596.68	5.28
though with a fault line timing Bucky	10599.52	4.839
close range John cutie standing not that	10601.96	5.399
t had his back but at least has the	10604.36	5.96
trade qck the only thing that he has now	10607.36	5.281
is a	10610.32	2.321
classic trying to find the opportunity	10613.00	4.2
moment to walk inside the smoke the	10615.00	4.92
backup from tens the turn around and	10617.20	4.199
then both of them swinging from	10619.92	4.08
extremities Well Done by Sentinels an	10621.40	4.88
opportunity there for loud to get the	10624.00	5.239
upset but Sentinels convert from their	10626.28	6.281
pistol loud again playing this	10629.24	6.0
composition that a little bit with their	10632.56	4.56
bodies obviously two is pushing there to	10635.24	3.361
get map control and see if they could	10637.12	2.96
have started to lean but now they do	10638.60	3.679
have sadak with guiding lights they	10640.08	4.279
don't have to go as crazy so we'll see	10642.28	4.96
what this gun round brings	10644.36	5.721
us like wait a minute that was a little	10647.24	5.08
too close for my comfort says Kaplan	10650.08	3.68
it's been a long night and a long day	10652.32	2.881
for the	10653.76	5.08
coach all right our first one towards	10655.20	5.96
rubble a wide swing to the orb didn't	10658.84	4.0
even come up Zin gets the surprise kill	10661.16	3.56
onto kaaden	10662.84	4.399
knowing that the other one was behind	10664.72	5.88
the boxes but tped away that's two e	10667.24	5.601
forced to Anchor solo a double push from	10670.60	4.6
loud to try to flank around towards C	10672.84	3.92
that will be bit by utility in a couple	10675.20	3.88
of seconds as zelis moves forward with	10676.76	3.719
the rest of the	10679.08	4.92
team this flank is huge exactly and	10680.48	4.92
actually as zelis is moving forward	10684.00	4.08
there's no alarm bot it's not really	10685.40	4.601
activated here's that timing moving	10688.08	3.68
forward now as there you go moved back	10690.00	4.2
towards the doorway alarm bot came up	10691.76	5.08
and that spots at least one player SEL	10694.20	5.96
are now ready for the backstab John CU	10696.84	4.76
is the one that greets him on the corner	10700.16	4.72
of the Boxes by baby door one-onone that	10701.60	5.16
situation door opening forward SEL are	10704.88	3.8
looking pretty good here in round number	10706.76	5.24
three their bonus Les dancing around the	10708.68	5.44
peak up from zelus at Rubble the push	10712.00	5.479
towards the spawn from z a sentinal	10714.12	6.56
score the Flawless what are they doing	10717.48	5.241
they keep opening the door they still	10720.68	4.12
got the flank and they're just playing	10722.72	4.16
games out here right now as loud tries	10724.80	5.08
to get back into the site and Loud was	10726.88	5.2
having trouble sedak threw one of his	10729.88	4.24
his flashes it link stairs and it just	10732.08	3.8
found itself going into the wall because	10734.12	3.239
it was tried to be thrown through a	10735.88	4.2
smoke little things not working for loud	10737.36	3.92
that they would have gained a bit of	10740.08	4.8
ground and Sentinels just biting back	10741.28	7.681
let's go zelis absolutely feeling it out	10744.88	5.72
of his chair right now with the hype	10748.96	3.96
from the crowd and we're in ground gun	10750.60	3.96
round or round four I should say guns	10752.92	5.64
for S not for loud and Sentinels worried	10754.56	5.6
that this could be a round of trickery	10758.56	3.36
leave the spike in spawn for now as they	10760.16	4.48
do a bit of Recon the first push though	10761.92	4.88
from TU here on loud yeah and did so	10764.64	3.88
with the Recon prowling towards the B	10766.80	5.28
main as well did catch a player and as	10768.52	5.44
they go for the swing on Mound they once	10772.08	3.64
again see the Viper set up towards that	10773.96	3.0
Seas	10775.72	3.12
site and definitely here as you're	10776.96	5.12
seeing SEL working that map quite	10778.84	5.72
well zels is standing up at the end of	10782.08	5.88
these rounds also is the hype men that	10784.56	5.6
you need for SOS to try to close this	10787.96	4.96
map number five wow yeah really we're	10790.16	4.52
showing the respect to loud showstopper	10792.92	3.8
coming out creating that space on the	10794.68	3.96
Low by that you have and cine somehow	10796.72	4.84
manages to slip through the execution of	10798.64	5.56
Sentinels to get one pick with his Bucky	10801.56	4.44
nonetheless little plant will still come	10804.20	4.8
down honestly show stopper in you know	10806.00	4.6
sadok's not going to be too close with	10809.00	3.72
the judge if he has one that round yeah	10810.60	3.719
you're right playing it safe playing it	10812.72	2.84
strong and they're looking to deny the	10814.32	3.881
audio on the retake too yeah that's	10815.56	4.839
going to hit So Many Bodies even all	10818.20	5.6
four of them towards this B site all La	10820.40	5.04
could do right now is just hold the back	10823.80	3.08
waiting for that to dissipate the Wall	10825.44	3.281
comes up thankfully because Les is still	10826.88	3.559
alive big curve ball the double swing	10828.72	4.44
out of it Sashi is going to fall trying	10830.44	4.721
to play the pul plan here tuis jumps up	10833.16	4.119
on the ledge starts to fuse instantly we	10835.16	4.199
get the sprays on two kills Q then	10837.28	3.561
swinging out there's not going to be	10839.36	3.721
enough time left John CU is just staying	10840.84	4.2
alive and trying to force out Les	10843.08	5.04
towards him Les falls back Spike will	10845.04	5.96
explode the round for	10848.12	6.119
Sentinels four for S they do go down to	10851.00	5.84
one member but the coffers are full	10854.24	4.24
they've got so much money from the first	10856.84	5.04
four rounds here the ultimates to come	10858.48	5.76
up but we'll see this round again	10861.88	5.16
pressuring into the sight you can see	10864.24	5.561
that Sentinels is not kidding around	10867.04	5.6
show stoer on a low by round for	10869.80	5.88
loud they are securing these imagine if	10872.64	4.52
they didn't show stopper it came down to	10875.68	3.96
a One V one the site might have had a	10877.16	4.079
different play all the way through that	10879.64	4.12
round fist bus all around zis as well	10881.24	4.921
still in his first two maps remember we	10883.76	4.8
definitely saw a one-sided Affair for	10886.16	5.119
Sentinels as well so L seems like they	10888.56	4.799
might be digging deep right now to	10891.28	4.521
answer back on their defensive half this	10893.36	4.481
becomes interesting right it's not the	10895.80	3.92
the Rays and the fade nade here coming	10897.84	4.12
from loud so this is more of a firefight	10899.72	5.44
util hit but send can run out and answer	10901.96	4.439
right they're not too deterred from	10905.16	2.84
making this happen unless they get	10906.40	3.161
nailed by that fault	10908.00	4.359
line it's already coming out TP went	10909.56	5.24
forward though look at 10 double TP on	10912.36	6.161
both ends but's winning that one low HP	10914.80	6.72
door being opened sedak forced to fall	10918.52	5.28
back flash to try to get information the	10921.52	4.52
prowler fall right behind his second for	10923.80	5.559
three in the round a sight open for	10926.04	7.08
business and sels shuts down the defense	10929.36	6.481
I won't it's impossible but you just saw	10933.12	4.92
how hard it is for loud to actually	10935.84	4.519
control that space with the majority of	10938.04	4.199
the util they wanted to take it two	10940.36	3.561
members of Sentinels able to shut that	10942.24	5.841
down as tens and Zen go forward now they	10943.92	6.28
play the plant game all in tree they	10948.08	3.359
should be able to trade each other here	10950.20	2.88
but a good fault line could pick up a	10951.44	3.641
few does enough damage though for the	10953.08	4.52
assist last one now spotted snake by not	10955.08	4.239
allowing Les to move even more forward	10957.60	3.839
behind that two versus one second SN by	10959.32	5.441
Nanos two toxic and second dinosaur	10961.44	5.721
coming down wasting all of that time	10964.76	4.04
counter moving forward to tap on the	10967.16	3.64
spike one has to run across easy kill	10968.80	3.639
Crosshair placement but zelus knows	10970.80	4.16
better then swings that off the timing	10972.44	8.0
five now four Sentinels Crow behind him	10974.96	7.8
ascal continue to build the confidence	10980.44	4.401
in the final map and these rounds are a	10982.76	3.92
bloodbath loud's not getting the chance	10984.84	3.479
to save neither as send but they're	10986.68	3.36
coming up with the frags they're coming	10988.32	4.04
up with the round wins and John Cy is	10990.04	5.12
currently sitting on nine ,000 credits	10992.36	4.161
they can be buying each other if they	10995.16	3.119
want to they're staying away from an	10996.52	4.759
operator Sentinels is keeping a	10998.28	6.721
fastpac game to not let loud breathe	11001.28	7.08
right now loud into a big Sheriff	11005.00	5.64
guardian and vandel	11008.36	4.641
round they're stretching the money fin	11010.64	4.48
here and they go again for Rubble play	11013.00	3.52
keep doing it why not but this time	11015.12	3.0
we're answering back for loud lots of	11016.52	2.959
utility to try to clear back towards	11018.12	2.96
Rubble two is moving forward that's the	11019.48	4.041
sher's going to work now for loud and	11021.08	5.359
ring back is Assi but they pull back	11023.52	4.879
from it dropping a spike in the process	11026.44	3.84
it comes down to the men right here the	11028.40	4.561
hype man that made it Behind Enemy Lines	11030.28	4.881
and is trying to catch to	11032.96	5.479
rotate they refin the hit said it	11035.16	4.84
wouldn't be	11038.44	5.04
impossible too late the pick from zelus	11040.00	5.84
opening it up up towards the a site so	11043.48	4.88
they can pitch towards the rubble but	11045.84	3.96
the backs side's about to come forward	11048.36	3.96
from Les but he lost Kena the process	11049.80	5.28
the jump for it backstab they on to	11052.32	5.721
zelus spike El is picked up by John Cy	11055.08	5.68
with the pit available Viper on viper	11058.04	5.6
both pits also available comes down to	11060.76	4.32
who has the better read the better	11063.64	5.16
positioning it's John	11065.08	3.72
cuy absurd momentum right now electric	11070.92	8.64
from Sentinels the players are feeling	11076.60	5.36
it and they are delivering it to each	11079.56	4.4
other in these moments as well	11081.96	5.56
what a round loud again refined the a	11083.96	6.24
rubble hit they get it right but the	11087.52	5.759
round still goes in the favor of s as	11090.20	5.84
they're able to organize a hell of a	11093.28	5.2
flank to come in and completely pick	11096.04	4.239
apart loud four ultimates now ready for	11098.48	3.88
loud here three for Sentinels an	11100.28	4.721
explosive Round Here on round seven as	11102.36	5.161
the Odin unleashes from zela's hands	11105.00	4.2
they want to keep doing it for loud they	11107.52	4.32
had some sort of result there for the	11109.20	4.36
control they had towards Rob but the	11111.84	3.28
thing is they had a lower bu this time	11113.56	3.879
they wanted to do it with weapons SEL	11115.12	3.52
could have been lucky with the spray	11117.44	4.04
from zelus from the a entrance but that	11118.64	4.36
means you have no Defenders towards the	11121.48	3.92
seaside allowing for SEL to be exactly	11123.00	4.359
where they P it up at the beginning of	11125.40	4.241
this round Open up The Kill on to Le SCH	11127.36	5.161
stoer in does not get the contact Q is	11129.64	5.04
just around the corner run it back out	11132.52	4.36
and activated big curveball the head	11134.68	4.88
shot on to T Rolling Thunder also	11136.88	5.479
available here for cine and it's just to	11139.56	4.679
try to push them back back and allowing	11142.36	4.321
Kus to move forward for another pick	11144.24	3.721
lock down available at the beginning of	11146.68	3.12
this round for zelus as they had to	11147.96	4.84
reset regroup and	11149.80	3.0
rethink this would be a wild round they	11152.96	4.6
lose less first and are able to answer	11155.44	4.441
back now loud going to win this one from	11157.56	5.48
a 4v5 conversion possibly they correctly	11159.88	6.04
rotate and the just the ruse they're	11163.04	4.199
going to be sticking together though so	11165.92	3.08
it doesn't matter oh it does you're	11167.24	3.721
right it does they second guess it and	11169.00	3.08
now they're going to be rotating	11170.96	3.84
together power in number but the wrong	11172.08	5.72
sight and now it has to come down to a	11174.80	5.16
perfect timing from Sassi The Flash	11177.80	3.96
actually did not spot zelis he hears the	11179.96	4.16
footsteps once Sassi gets this plant	11181.76	4.88
it'll pull the rotate back but celsus is	11184.12	4.8
overthinking it over peing and gets Den	11186.64	6.12
n right away SP planted sashy had this	11188.92	6.16
chance before on Sunset that was the	11192.76	5.639
wingman plant we saw when he was on the	11195.08	5.6
gecko does he have the timing here to	11198.40	3.92
get behind his opponents hearing the	11200.68	3.96
audio hearing the the Stampede of loud	11202.32	5.08
go by him a Deja Vu here's the footsteps	11204.64	5.92
but this time the dreams been learn been	11207.40	7.201
read but Sassi wakes up Cene a two	11210.56	7.08
versus one paranoia hits him trying to	11214.60	4.839
get the spray across at least gets that	11217.64	4.36
second kill but L will get the diffuse	11219.44	4.8
loud find it they need this round	11222.00	3.84
Sentinel still has so much money but	11224.24	3.761
loud needed to stop the bleeding they	11225.84	4.08
were hemorrhaging rounds one after the	11228.00	4.0
other ultimates are ready for Sentinels	11229.92	3.92
so they may as well they might just take	11232.00	4.08
this back in their favor with what they	11233.84	4.88
have liking be with this setup we've	11236.08	4.84
seen them hit B with Nightfall with what	11238.72	4.16
they have and T can really mess around	11240.92	4.92
with a spawn TP if he gets it what a	11242.88	5.479
round from	11245.84	5.599
loud playing that one together rotating	11248.36	4.721
correct but they know they have a long	11251.44	3.081
road ahead of them to collect the rest	11253.08	3.399
of these rounds in the first half here's	11254.52	3.28
that b hit we were talking about from	11256.48	4.88
Sentinels not afraid to just send	11257.80	3.559
it rare hit toward towards that b site	11261.44	4.321
that paranoia is going to Blind too but	11264.12	3.56
close range still gets the kill with the	11265.76	4.16
guardian Q also moving forward After	11267.68	5.04
Shock forcing SEL to push forward but	11269.92	4.92
it's traed back and forth send back on	11272.72	4.96
the board two's answering right back pit	11274.84	5.24
is down counter coming out of Defenders	11277.68	5.12
less at low HP though K CU still at full	11280.08	4.92
with	11282.80	2.2
armor it's like sherber let's go oh a	11286.40	6.801
shot outside John cutie finds one as he	11290.64	5.679
one enemy remaining oneon-one though Les	11293.20	5.239
has that snake bite John cuy playing all	11296.32	4.801
the way on the outside Ling that pit	11298.44	5.721
down Les doing the same wall up tap on	11301.12	5.96
the spike John cue the sprays on the	11304.16	4.64
first it's halfway a little bit of a tap	11307.08	3.399
trying to stick it it's going to release	11308.80	4.32
it now gets the kill tries to go back	11310.48	5.321
for the diffuse will he get it he will	11313.12	6.44
not last in a second but John Cy wins	11315.80	5.519
the one one	11319.56	4.36
71 Sentinels	11321.32	5.441
up they pull it back in their favor we	11323.92	5.8
talked about the be hit how hard it is	11326.76	5.28
once you get that night fall in the	11329.72	4.2
close members on the defensive side	11332.04	4.76
playing B cannot orchestrate around any	11333.92	5.28
audio they're deafened they're trying to	11336.80	4.4
play off full reaction and that usually	11339.20	3.159
means you're getting met with the	11341.20	3.119
utility that follows up after the	11342.36	4.88
Nightfall and you are falling what	11344.32	6.521
around good pressure good play 710 here	11347.24	6.24
it's going to be a low by again for loud	11350.84	4.399
which means sen should be able to pick	11353.48	3.281
up this	11355.24	4.441
round as we say that though Cowen Zen's	11356.76	4.44
been getting a lot of value out of this	11359.68	3.04
Bucky so far slipping through towards	11361.20	3.119
the seaside hits and the sheriff has	11362.72	6.0
always been really good on qck less and	11364.32	8.281
tues walking towards qck our Sentinels	11368.72	5.44
after doing some initial noise towards	11372.60	3.0
the	11374.16	3.96
site do they grab Mound control now	11375.60	4.32
though yes perfect from loud they can	11378.12	3.4
start to move the rest of the map here	11379.92	3.479
they need to get a faster read on	11381.52	3.52
Sentinels the retake from loud is	11383.40	3.601
amazing with their flashes they got to	11385.04	3.88
be in position the dog came out too	11387.00	3.399
control towards Mound there is that	11388.92	4.12
instant rotate from Cowen Zen and sedak	11390.40	4.321
all the rest of the team they're still	11393.04	5.439
under a minute qy under initial	11394.72	6.44
pressure orb now being picked up Pain's	11398.48	4.361
moving forward juus gets the wall bang	11401.16	3.76
it's a bait for the bucket move forward	11402.84	3.84
but second was ready for that one cull	11404.92	4.439
under right tried to look for the safety	11406.68	4.92
John C is able to make it back but SED	11409.36	4.721
pinches from the back	11411.60	5.24
3v3 but once again the better buy is for	11414.08	4.48
the attacker sasi pushing forward	11416.84	5.399
against d a plant safe now towards the	11418.56	5.32
right side of the sight Sak got a	11422.24	4.841
Guardian guardian picked up Les moving	11423.88	4.8
forward watching their angles jumping	11427.08	3.48
out Guardian shot does not connect and	11428.68	4.84
instantly both players of Val fall with	11430.56	5.879
the crossfire set up from the Sentinels	11433.52	5.44
dominating now the attacking side	11436.44	4.641
dominating just like he did on the first	11438.96	5.24
two maps of Sentinels they're definitely	11441.08	4.319
really looking like they're running	11444.20	3.64
towards the victory of this final map	11445.40	4.08
this is	11447.84	4.559
incredible right now from Sentinels one	11449.48	6.321
enemy remaining we always pray sadak the	11452.40	7.04
five games the long uous process of	11455.80	5.76
having to restat every map figure out	11459.44	3.8
your opponents he's been there he's done	11461.56	4.719
that amazing to see how Sentinels is	11463.24	5.12
molding to the situation John cue	11466.28	4.681
continues to call well and we know zelus	11468.36	4.12
just on the back side of those calls	11470.96	3.96
adding so much information and SEL could	11472.48	4.321
do whatever they want right now can	11474.92	3.2
they're going back into that pressure	11476.80	2.8
towards the rubble sign we're like okay	11478.12	2.92
well when we have these big gun rounds	11479.60	3.0
they might try to pressure on that side	11481.04	3.6
SEL could work now the B moving back	11482.60	4.0
towards C and this is pistol repeat	11484.64	4.4
right this is exactly what Sentinel did	11486.60	4.92
on pistol round it's a a sure grab on	11489.04	4.319
orb now they pick up the spike and they	11491.52	4.36
can decide what they want to do haven't	11493.36	4.241
had to worry about this a rubble	11495.88	4.399
pressure at all really they just let it	11497.60	3.96
happen and make sure they watch the	11500.28	4.361
flank looking forward now s has only but	11501.56	5.96
what's in front of them for this B take	11504.64	4.599
having John cutie with the spike back	11507.52	3.04
there makes me think this isn't a full	11509.24	3.16
hit though a this is big right now for	11510.56	4.32
Lou you had Sadat we talked about agents	11512.40	4.121
that needs to get information he dogged	11514.88	4.24
out at the 115 then goes for Seekers at	11516.52	4.36
the one minute even to run it back to	11519.12	3.199
try to get the late round and even the	11520.88	4.68
pick onto zelus denied by John cuy still	11522.32	4.801
an opportunity here for Sentinels to	11525.56	2.839
Pivot away if they want to and it's	11527.12	3.84
starting here sash is moving forward but	11528.40	5.321
is waited by Tu for the rest is just	11530.96	6.24
second throwing the pain shells cat them	11533.72	5.24
moving up towards the B site for a plant	11537.20	4.84
SAU sashy solo clears haunt right on a	11538.96	5.359
rubble pushes back with the Seas and	11542.04	4.0
again there's still an audible to be	11544.32	3.641
called here from Sentinels they haven't	11546.04	3.96
finished to where they're going it might	11547.96	4.04
be B in the end though yeah 14 seconds	11550.00	3.12
left it's now coming in towards this	11552.00	2.64
bite but there's still players here four	11553.12	2.96
players looking to flood back from loud	11554.64	3.56
in the back of the forward position from	11556.08	4.64
Sassi on the top of the heavens winning	11558.20	3.68
just behind the smoke here's the	11560.72	3.24
footsteps root across on the back of the	11561.88	3.8
spawn now as it dissipates there the	11563.96	3.279
contact paranoia was a little bit too	11565.68	3.48
late H then moves forth though and two	11567.24	4.481
answer is right back it's back and forth	11569.16	5.8
a Congo line of kills but the advantage	11571.72	6.12
for allow door opening qck looking for	11574.96	4.72
the flank clearing out the front B both	11577.84	3.439
players of senal anchoring inside the	11579.68	3.36
side the curveball turned away by John	11581.28	4.04
cu the ads for the train second now	11583.04	4.16
Satchel available to try to get the	11585.32	3.92
diffuser off the plant but he's going to	11587.20	4.64
swing out first and knows now that they	11589.24	4.881
have to commit two are is ready for it	11591.84	4.2
though and fights back allowing loud to	11594.12	4.92
get to the fuse what a necessary round	11596.04	4.84
and they actually Focus two ultimate	11599.04	4.16
there he will get it prioritizing a b of	11600.88	4.68
the map control being able to get tuis	11603.20	4.32
pushed up on a rubble and then	11605.56	5.4
teleported into a retake for the team if	11607.52	6.44
necessary loud a very much needed round	11610.96	4.96
every single one of these last rounds	11613.96	4.16
needs to be theirs with the pressure	11615.92	4.88
Sentinels is adding to this Fifth and	11618.12	5.04
final map of the Grand Final	11620.80	5.96
two more rounds a possibility	11623.16	3.6
here size of	11627.08	7.0
relief and now they focus on another	11630.00	7.88
round any alts on Deck not really for	11634.08	4.76
for	11637.88	3.08
loud but they are going to go ahead take	11638.84	3.84
that Rubble control and try to just get	11640.96	3.519
a better read on Sentinels they need	11642.68	3.84
every bit of the beginning of these	11644.48	4.681
rounds in their favor loud does so	11646.52	5.16
that's a pickup one away from orb now	11649.16	5.56
for a second or	11651.68	3.04
ultimate and if anything here they have	11654.96	4.359
that ultimate available for tuis if he	11657.76	3.88
wants to go for that TP in the back of	11659.32	3.801
the seaside to help and it's being	11661.64	3.759
pinged out by Sentinels Sentinels	11663.12	4.159
putting pings all the way through the	11665.40	3.641
back of Spawn here and it's right over	11667.28	5.841
the members of loud face your fear	11669.04	5.279
that's where they're trying to Ping	11673.12	3.239
where they want to initiate the	11674.32	5.0
Nightfall pain shells thrown by Z space	11676.36	4.481
has been gained Prowler pushing back	11679.32	3.361
towards the waterfall qck still still	11680.84	4.08
anchoring behind the pillar after that	11682.68	4.36
plant though show stopper available by Z	11684.92	4.0
beautiful flash do not allow for him to	11687.04	4.04
get Space off the showstopper does some	11688.92	5.08
damage on the qck down to 5 HP boombot	11691.08	4.48
about to come out through the smoke the	11694.00	3.16
paranoia countered by loud for the back	11695.56	3.719
of the spawn John CA gets a St by kill	11697.16	4.4
onto qck as s do has to move in with the	11699.28	3.801
rest but they're getting delayed by the	11701.56	3.64
utility of Sentinels on the PO plan a	11703.08	4.04
five versus three make that a four	11705.20	3.64
versus three Advantage for the Sentinels	11707.12	3.92
as well as L and the rest cannot move	11708.84	4.559
forward for loud finally it's tens that	11711.04	4.319
gets picked off two ninos storms onto	11713.40	4.241
the spike delayed available for zelus	11715.36	3.641
there is the Hop and now they're moving	11717.64	2.719
forward but finally they got rid of that	11719.00	4.479
udil it's at a halfway the swing out two	11720.36	6.521
with the second tap and Sassy gets that	11723.48	8.601
pick holy close call by both squads	11726.88	7.439
round seeing that play come to fruition	11732.08	4.239
for Sentinels I started thinking you	11734.32	4.761
guys planted for not Mound and you guys	11736.32	5.481
got you got guys outside the site loud	11739.08	5.399
also recognizing the plant position and	11741.80	5.36
for a defense that means they have some	11744.48	5.121
members in sight nobody plants down on	11747.16	5.72
that platform and all play Mound loud	11749.60	5.639
assessing the situation beautifully and	11752.88	6.04
dropping the members they needed holy	11755.24	6.721
moly not enough	11758.92	6.8
though it's tough for them it is tough	11761.96	5.96
for sure they're able to come back	11765.72	3.84
Sentinels even though they planted on	11767.92	5.6
that platform and get the get the round	11769.56	7.839
contact play Z is on fire Superstar now	11773.52	6.36
for Sentinels continues to lead the	11777.40	5.561
charge on all of these hits of the	11779.88	7.04
attack out although on the other side we	11782.96	5.84
did see the push from qck out towards	11786.92	5.359
the a main evening up the tally weapon	11788.80	5.32
upgraded at this corner looking to get	11792.28	4.401
upgraded as senos goes for the plant but	11794.12	3.88
there's that	11796.68	3.599
backstab John cuy with the plant gets	11798.00	3.88
the pit that's going to make it	11800.28	4.321
difficult now for allowed to	11801.88	2.72
retake second he sparman cannot be sorry	11804.64	9.4
all right very cool uh moving in now Les	11810.88	6.24
qck to do what they can here HP going to	11814.04	5.96
be going way down oh and short and close	11817.12	7.0
swings across alone oneon-one tap on the	11820.00	6.72
spike John cutie just staying outside of	11824.12	4.88
it gambling that he's not going to stick	11826.72	5.0
it just got spotted down to 11 Blaze	11829.00	5.279
wall now another tap John cuy forced to	11831.72	5.04
run in but now there's not enough time	11834.28	5.0
cus with another tap got it John cuy	11836.76	4.599
with the rest of the patience of	11839.28	5.641
Sentinels have they finished a half a	11841.36	7.801
102 what an incredible first half final	11844.92	7.6
match from Sentinels still on fire this	11849.16	5.319
late in the day this late through all	11852.52	4.719
these strategies John cuy and zelus	11854.48	5.281
still have a strap book to flip the	11857.24	5.801
pages through loud having having so much	11859.76	5.719
trouble figuring out what is the entry	11863.04	4.64
on this Sentinels composition how to get	11865.48	4.201
to the entry with all of their members	11867.68	4.44
Sentinels picks them apart one by one as	11869.68	4.519
they go for the rotations they get into	11872.12	5.44
position and here again just the time	11874.20	7.08
game being danced around Sentinels have	11877.56	6.919
been in so in control so much throughout	11881.28	6.12
this series and now the final map of 102	11884.48	5.441
10-2 with three rounds remaining for the	11887.40	4.281
Sentinels to be crowned the kickoff	11889.92	4.399
champion but SEL have a big cushion	11891.68	4.84
right now win this pistol will be	11894.32	4.801
everything and L has an uphill battle to	11896.52	4.64
fight a steep one2 as they take the	11899.12	4.239
attack pistol around underway and it	11901.16	4.36
comes down to this player right here for	11903.36	5.201
qck they don't have a composition that	11905.52	5.839
allows for them to do the explosion on	11908.56	3.96
the map control that they're trying to	11911.36	2.84
get the sight control that Z currently	11912.52	4.04
has for Sentinels so how will work the	11914.20	4.641
attack now with this type of	11916.56	4.56
comp here looking to make as little	11918.84	3.92
noise as possible looks like they might	11921.12	3.92
catch a paranoia here if they do gets	11922.76	3.4
into	11925.04	3.8
position right behind Rubble oh dear oh	11926.16	4.36
the Wall came down as well paranoid	11928.84	3.479
moving forward a one for one make that a	11930.52	3.6
two for one in favor of the SOS control	11932.32	3.761
towards the rubble as well hit by the	11934.12	5.239
Seas killed by tens again with a	11936.08	7.159
hatrick multi kills this whole series	11939.36	6.481
for the star player not only B zek but	11943.24	6.561
also T finding comfort in this role as	11945.84	8.76
Omen and dominating this kickoff so far	11949.80	8.0
two's with the backstab two for his name	11954.60	6.92
zelis is low on HP but it's a backstab	11957.80	6.32
for backstab John cutie is also there	11961.52	5.12
looking to move behind 30 seconds left	11964.12	5.359
signs to think otherwise looks like SOS	11966.64	6.24
